,Sentence,Entity1,Entity2,relation
658,"The trial of Saddam Hussein on charges of genocide against Iraq 's Kurds resumed Monday , after a nearly three-week hiatus , while sectarian violence continued on Baghdad 's streets , including the suicide bombing of a crowded downtown bus that killed more than a dozen people .",Kurds,Monday,resumed
659,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. ; and downtown Brooklyn , with a stop for gospel music on Sunday at 10 a.m. Also , Downtown Brooklyn , with a stop for gospel music , Sunday at 10 a.m. All meet in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
660,"No , '' Ohio State Coach Jim Tressel said Saturday after his team defeated Northwestern , 54-10 . ''",Jim Tressel,Saturday,said
661,"Disney Chooses Leader for Miramax Films The Walt Disney Company chose Daniel Battsek , who has overseen its film distribution in Great Britain , to run Miramax Films after the departure of its co-chairmen , Harvey and Bob Weinstein .",Disney,Leader,Chooses
662,A9 Sharon 's Policy Halted Israel 's attorney general ordered Prime Minister Ariel Sharon 's government not to carry out a policy decision permitting the seizure of East Jerusalem property owned by Palestinians living in the West Bank .,Policy,Israel,Halted
663,"German Skier Needs Surgery Maria Riesch , Germany 's most versatile and valuable women 's ski racer , will miss the Turin Olympics after tearing a ligament in her left knee Saturday during a crash on her second giant slalom run .",Skier,Surgery,Needs
664,"Last April , at the height of his own reelection campaign , President Bush granted Prime Minister Ariel Sharon of Israel what both Israeli and American officials said was a major concession , a letter saying that a final accord with the Palestinians should be expected to keep certain settlements outside Jerusalem and parts of the West Bank in Israel .",President Bush,Prime,granted
665,"In 1992 , Arkansas executed Ricky Ray Rector not long after he put aside the dessert of his last meal to eat later .",Arkansas,Ricky,executed
666,"In the lead spot , Spike Lee reinterprets Mars Blackmon , the Brooklyn b-boy he played in the film '' She 's Gotta Have It '' and in the earliest Air Jordan commercials , as a salt-and-pepper-bearded griot , regaling a sea of hoop dreamers with tales of Jordan read from an ancient tome .",Spike Lee,Mars,reinterprets
667,"Formerly of Mount Vernon , New York died January 3 , 2005 .",New York,January,died
668,"A 20-something Robert Vonnoh paints John Severinus Conway , an aspiring sculptor from Akron , Ohio , as a glowering Mephistophelean masher .",Robert Vonnoh,John,paints
669,"Israel will use '' all necessary means '' to stop mortars and rockets fired from Gaza at Israeli towns and settlements , Defense Minister Shaul Mofaz said Thursday after meeting with military leaders and Prime Minister Ariel Sharon .",Shaul Mofaz,Thursday,said
670,"After Mr. Spitzer picked State Senator David A. Paterson , a fellow Manhattanite , to be his running mate in the lieutenant governor slot , some Democrats argued that in the interest of balancing the ticket geographically , the Democrats should nominate Denise O'Donnell , a former United States attorney from Buffalo , for attorney general .",Mr. Spitzer,State,picked
671,"The Security Council struggled Wednesday night over a resolution extending the term of the United Nations investigation into the assassination of the former prime minister of Lebanon , Rafik Hariri , and expanding its scope to include other recent politically motivated killings in Lebanon .",Security Council,Wednesday,struggled
672,The first stage of Hurricane Katrina touched Louisiana as it passed south of the city in the Plaquemines Parish town of Buras with winds of more than 125 miles per hour pushing a storm surge .,Hurricane Katrina,Louisiana,touched
673,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. , meeting in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
674,"Col. Thomas Pappas , the former intelligence chief at Abu Ghraib , testified at the dog handler 's trial that the use of dogs had grown out of conversations he had had with military jailers from Guantanamo Bay led by Maj. Gen. Geoffrey Miller , who had been sent to Iraq to instruct soldiers there in the interrogation techniques refined at Gitmo under Mr. Rumsfeld 's torture-is-legal policy .",Guantanamo Bay,Maj,led
675,"Operating out of Dinjan , India , he strafed Japanese truck columns on the Burma Road linking Burma to China , dropped 500-pound bombs on bridges across the Salween River and hit barges loaded with Japanese troops .",Burma Road,Burma,linking
676,"Mr. Earle , the Travis County prosecutor , had suggested as recently as a few weeks ago that he did not expect to indict Mr. DeLay , and lawyers and law enforcement officials in Austin speculated Wednesday that he must have obtained the cooperation of an important witness in deciding to bring charges .",Austin,Wednesday,speculated
677,"Israel bombed Beirut suburbs and raced to consolidate its positions in southern Lebanon , and Hezbollah fired more than 220 rockets into northern Israel .",Israel,Beirut,bombed
678,"BUSINESS DAY , PAGE C1 Wounded Anchor in U.S. Bob Woodruff , the ABC News anchor , and the cameraman Doug Vogt arrived in Maryland to continue treatment for wounds suffered in a roadside bombing in Iraq .",PAGE C1,Anchor,Wounded
679,"In her earlier administration role , Ms. Rice has acknowledged , she worried about the consequences of the breakup of the Soviet Union , though she now reminds people that she left the White House for Stanford University before the president gave his famous speech in Kiev warning Ukraine not to secede from Russia .",Kiev,Ukraine,warning
680,"Boston acquired Graffanino in a trade from Kansas City in July , mainly because the incumbent starter , Mark Bellhorn , was injured , ineffective and eventually released .",Boston,Graffanino,acquired
681,"During that nearly two-hour period , ESPN had two of its best reporters , Ed Werder and Sal Paolantonio , in the field , but it did not have Fisher to explain why the Titans chose Vince Young with the third pick or how seriously the Saints entertained thoughts of trading the No. 2 pick to the Jets .",Titans,Vince,chose
682,"The Czechs , who were frustrated by goalkeeper Richard Kingson and the Ghana defense , will now face a battle for survival against Italy next Thursday in Hamburg while the United States plays Ghana in Nuremburg .",United States,Ghana,plays
683,"After Nascar asked Kansas City officials to make a proposal , the governor of Kansas , Kathleen Sebelius , led a state contingent that traveled to Nascar 's headquarters in Daytona Beach in February .",Nascar,Kansas,asked
684,"Met Museum Concerts The 2006-7 season of 75 concerts at the Metropolitan Museum of Art in New York will begin on Sept. 18 , when the Orpheus Chamber Orchestra plays Vivaldi and Bach in the Great Hall .",Chamber Orchestra,Vivaldi,plays
685,"He grew up in Missouri watching Vince Coleman and Ozzie Smith use their legs to win games for St. Louis , and decided to model his game after theirs .",Missouri,Vince,watching
686,This is Westport 's first production since Tazewell Thompson replaced Joanne Woodward as artistic director in January .,Tazewell Thompson,Joanne,replaced
687,Mr. Mekdad quoted President Bashar al-Assad of Syria as saying : '' Syria is innocent of this crime .,Mr. Mekdad,President,quoted
688,"Mr. Daschle invoked Gov. Arnold Schwarzenegger of California , who famously repaired his relationship with Democrats . ''",Mr. Daschle,Gov.,invoked
689,"A8 Annan Dismisses Staff Member The United Nations secretary general , Kofi Annan , has dismissed Joseph J. Stephanides , left , as the chief of United Nations ' Security Council Affairs Division , for '' serious misconduct '' in the oil-for-food scandal , a spokesman for the organization announced .",A8 Annan,Staff,Dismisses
690,"In a speech to thousands of Republicans at the Richmond airport on Monday night , Mr. Bush praised Mr. Kilgore as a son of rural Virginia , a man who '' does n't have a lot of fancy airs '' and who is a guardian of conservative values . ''",Mr. Bush,Mr.,praised
691,"Mr. Kruger represents Sheepshead Bay , Bensonhurst , Brighton Beach and Borough Park in Brooklyn ; Mr. Sanders represents Gramercy Park and the Lower East Side of Manhattan .",Mr. Kruger,Sheepshead,represents
692,"The government of Chad accuses Sudan of supporting the rebel groups menacing Mr. Deby 's rule , and Sudan contends that Chad has helped non-Arab rebel groups in Darfur that are fighting the Arab-dominated government and its allied Arab tribal militias .",Chad,Sudan,accuses
693,"Writing that '' those with bad companions can not avoid bad reputations , '' Fukuzawa said Japan should depart from Asia and '' cast our lot with the civilized countries of the West . ''",Fukuzawa,Japan,said
694,"Into It '' begins with an invocation to the muse from Ovid that reads '' give me the voice \/ To tell the shifting story , '' and though Joseph invokes Wallace Stevens , another lawyer , in his epigraph and elsewhere , the voice that dominates '' Into It '' evokes New York after 9\/11 , recalling the weary , edgy voices of T. S. Eliot 's personae making their way through postwar London .",Joseph,Wallace,invokes
695,"Shiite Rally in Baghdad Supports Hezbollah Tens of thousands of followers of the Shiite cleric Moktada al-Sadr rallied in Baghdad in support of the Lebanese militia Hezbollah , denouncing Israel and the United States for igniting violence throughout the Middle East .",Baghdad,Hezbollah,Supports
696,"Last July , relations went into a deep freeze , after North Korea protested South Korea 's airlift to Seoul of about 460 North Korean defectors stranded in Vietnam .",North Korea,South,protested
697,Crawford said Rose was happy to be in New York .,Crawford,Rose,said
698,"A day after Mr. Akayev fled Kyrgyzstan , more than 1,000 protesters gathered in Minsk , the capital of Belarus , to challenge Mr. Lukashenko 's rule .",Mr. Akayev,Kyrgyzstan,fled
699,"A4 Cheney Seeks Kazakh Oil Route A day after chastising Moscow for using oil and natural gas as '' tools for intimidation , '' Vice President Dick Cheney visited Kazakhstan to promote export routes that bypass Russia and directly supply the West .",Dick Cheney,Kazakhstan,visited
700,"The most popular and influential democracy advocate here , Anson Chan , announced Saturday that she would not run for chief executive this winter , clearing the way for the re-election of Beijing 's favorite for the job and underlining the limits to popular representation nine years after Britain returned Hong Kong to China .",Britain,Hong,returned
701,"The senior American commander in Iraq said Wednesday that violence in Baghdad had reached its highest levels in recent weeks , despite the assignment of thousands more American and Iraqi troops to the capital in August .",Iraq,Wednesday,said
702,Lt. Dennis Farrell of Nassau County said Mr. DiMeo and Ms. Pearce burglarized homes in New York and Connecticut in November .,Nassau County,Mr.,said
703,"Researchers said they were unable to verify the name of the first passenger processed , but John Celardo , an archivist with the National Archives and Records Administration in New York , said the first one listed on the manifest for the largest of the first five ships that ferried their passengers to Castle Garden from the British Queen , which sailed from Bristol , was a 30-year-old laborer from England named Richard Richards .",England,Richard,named
704,"Cycling legends like Eddy Merckx of Belgium wore merino wool for a reason : it 's durable , it does n't itch , and it helps athletes maintain a steady core temperature .",Belgium,merino,wore
705,"There is a sober side to Pitti Uomo of course , since it is here that one encounters all the major players responsible for the continuing glory of the Made in Italy label , even though Made in Italy increasingly comes to mean Assembled in Romania With Buttonholes Added Somewhere Near Milan .",Buttonholes,Somewhere,Added
706,"Prime Minister Tony Blair of Britain and Secretary General Kofi Annan of the United Nations called Monday for an international force in southern Lebanon to end the fighting between Israel and the Hezbollah militia , which continued for a sixth deadly day .",United Nations,Monday,called
707,Some 30 rockets fired by Hezbollah hit Haifa and other parts of northern Israel .,Hezbollah,Haifa,hit
708,"Shortly after Mr. Chung left Pyongyang , North Korea asked the United States for a visa so that a Foreign Ministry official , Li Gun , could attend an academic conference in New York .",Mr. Chung,Pyongyang,left
709,"At the inauguration of the battleship Missouri in 1944 , Commandant Monroe Kelly introduced Margaret Truman , the daughter of Senator Harry S. Truman , and was splashed with Missouri champagne when she broke a bottle of it over the ship 's bow .",Monroe Kelly,Margaret,introduced
710,Mayor Laura Miller of Dallas said Sunday that the city was at its saturation point . '',Dallas,Sunday,said
711,"C1 Banker 's Wife Found Guilty A jury in Hong Kong found Nancy Ann Kissel guilty in the murder of her husband , Robert Peter Kissel , a senior Merrill Lynch banker , in a case that had transfixed investment bankers and captivated expatriates across Asia .",Wife,Guilty,Found
712,"It was in that war that Israel conquered East Jerusalem , the Gaza Strip and the West Bank and began building settlements for strategic , religious and economic reasons .",Israel,East,conquered
713,COPA LIBERTADORES Sao Paulo Wins Third Title Sao Paulo of Brazil won its third Copa Libertadores title last week and will represent South America in FIFA 's six-team World Club Championship in December in Japan .,Sao Paulo,Third,Wins
714,"Last month , in her last tournament before Wimbledon , Williams gave Francesca Schiavone of Italy the thrill of a tennis lifetime by losing to her in straight sets in her opening match at the Italian Open .",Williams,Francesca,gave
715,"In Pakistan , President Pervez Musharraf told Christina Rocca , the American assistant secretary of state for South Asian affairs , that Pakistanis were '' deeply dismayed '' by the reports .",Pervez Musharraf,Christina,told
716,"One had to be moved by the earnestness and attention to detail , '' said Martin Garbus , a trial lawyer from New York invited by Venezuela 's government to observe the election in Sarare , a town in the state of Lara . ''",New York,Venezuela,invited
717,"Prime Minister Ariel Sharon said Israel was left with two bad choices : tearing them down , or leaving them standing with the knowledge they might be desecrated .",Ariel Sharon,Israel,said
718,Indonesia 's Jakarta Composite Index rose Tuesday and Wednesday but fell slightly on Thursday .,Composite Index,Tuesday,rose
719,The Indonesian Embassy in Australia closed Wednesday after a package arrived containing a white powder that Prime Minister John Howard said was '' some kind of biological agent . '',Australia,Wednesday,closed
720,"The Ford Motor Company expects Toyota of Japan to unseat it for good next year as the No. 2 company , behind General Motors , in the American car market , a position Ford has held since the 1920s , according to internal Ford projections .",Motor Company,Toyota,expects
721,"According to court records , Mr. Symes had acquired it in Lugano , Switzerland , from a Sicilian named Renzo Canavesi , who provided a document stating that it had been privately owned since 1939 .",Sicilian,Renzo,named
722,"Comcast named Michael J. Angelakis , a managing director of Providence Equity Partners , as chief financial officer .",Comcast,Michael,named
723,"Mr. Gonzales attended Rice University and Harvard Law School before Mr. Bush , then governor of Texas , picked him in 1995 to serve as his general counsel in Austin and in 2001 brought him to Washington as his White House counsel .",Mr. Gonzales,Rice,attended
724,"Kodak Appoints Chief Executive Eastman Kodak named Antonio M. Perez , the president and chief operating officer , as its chief executive .",Eastman Kodak,Antonio,named
725,"-LRB- It did n't help that the two , seen cavorting on the Amalfi coast in Italy after Ms. Richards joined Mr. Sambora on tour with Bon Jovi in Europe , seemed to be flaunting their newfound happiness . -RRB-",Ms. Richards,Mr.,joined
726,"The Berkshire Opera Company performs '' Rinaldo '' tomorrow night at 8 and Monday afternoon at 2 at the Mahaiwe Performing Arts Center in Great Barrington , Mass. , and on Wednesday night at 8 at Williams College , Williamstown , Mass. (413)442-0099 .",Mahaiwe,Arts,Performing
727,"France administered Lebanon as a protectorate from 1920 to 1943 , and the former Lebanese prime minister , Rafik Hariri , who was killed in a car bombing last year that many believe was linked to Syria , was a close friend of the French president , Jacques Chirac .",France,Lebanon,administered
728,"-LRB- Confirming the death of its United Nations observer , the Chinese Foreign Ministry said Israel 's ambassador to Beijing was summoned Wednesday and asked to convey China 's request that Israel fully investigate the incident and issue an apology to the victim 's relatives , The Associated Press reported . ''",Foreign Ministry,Israel,said
729,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. , meeting in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
730,"A14 NEW YORK\/REGION B1-8 New York Man Contracts Anthrax From Animal Hide A 44-year-old New York City man contracted inhalation anthrax last week from working with untreated animal hides in the first naturally occurring case of the illness in the United States in 30 years , officials said .",York Man,Anthrax,Contracts
731,"Correction : July 6 , 2005 , Wednesday An article on Thursday comparing Detroit with San Jose , which displaced it as the nation 's 10th most populous city , referred incorrectly to the San Jose Sharks hockey team .",Thursday,Detroit,comparing
732,"The agreement was announced after a meeting between Sergei V. Kiriyenko , the Russian nuclear chief , and Gholamreza Aghazadeh , the head of Iran 's Atomic Energy Organization in Bushehr , where the Russians built Iran 's first nuclear power plant . ''",Russians,Iran,built
733,"Ms. Healey said South Beach in Miami Beach , the pedestrian shopping area in Santa Monica , Calif. , and the Pearl District in Portland , Ore. , were inspirations .",Ms. Healey,South,said
734,"In addition , the British police are focusing on a 25-year-old Briton named Zeeshan Siddique , who was arrested in Peshawar , Pakistan , in May on suspicion of links to terrorism .",Briton,Zeeshan,named
735,"AUTOMOBILES McCain Defends Iraq War at Falwell 's University Senator John McCain of Arizona , left , a possible Republican presidential candidate , at Liberty University in Lynchburg , Va. , yesterday with the Rev. Jerry Falwell , whom he once described as an agent of intolerance .",AUTOMOBILES McCain,Iraq,AUTOMOBILES
736,"In the months since Michaels spurned NBC 's offer , the network quietly groomed Cris Collinsworth for the play-by-play job .",Michaels,NBC,spurned
737,"And just as he did in reviving Boston University , Providence , the Knicks and probation-riddled Kentucky , Pitino has taken a Louisville program that Athletic Director Tom Jurich said barely qualified as a Division I program and in four years has brought the team to the Final Four for the first time since 1986 , when Louisville defeated Duke for the national title .",Louisville,Duke,defeated
738,"Russia Gives Life Sentence to Man Convicted in Beslan School Siege Reactions were strong after a court decreed a life sentence for Nurpashi Kulayev , right , a Chechen carpenter who took part in the 2004 siege of a public school in Beslan , in which 331 people , including 186 children , died .",Russia,Life,Gives
739,"The Bush administration and many private economists have urged that the authorities in Beijing allow China 's currency , the yuan , to rise in value against the dollar .",Beijing,China,allow
740,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , today through Sunday at 2 p.m. , and downtown Brooklyn , with a stop for gospel music , on Sunday at 10 a.m. All tours meet in front of the Marriott , Adams and Tillary Streets , downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
741,The Peccadillo Theater Company revives Dorothy Parker and Arnaud d'Usseau 's play about the eccentric residents of a New York City hotel (2:00) .,Theater Company,Dorothy,revives
742,"This month , for example , Martin J. Sullivan succeeded Maurice R. Greenberg at the American International Group , and Disney 's board chose Robert A. Iger to succeed Michael D. Eisner .",J. Sullivan,Maurice,succeeded
743,"Mr. Posada left Panama City and flew to San Pedro Sula , Honduras , bearing a false American passport , according to President Ricardo Maduro , who publicly denounced him .",Mr. Posada,Panama,left
744,"Stuart remained unheralded , and the neighborhood where the arch sits , now an unincorporated patch of Martin County called Rio , became a landscape of mobile homes and snowbirds , with a smattering of peacocks from the nearby estate of Frances Langford , an actress known for singing '' I 'm in the Mood for Love . ''",Martin County,Rio,called
745,"Boy Killed by U.S. Troops By The New York Times BAGHDAD , Iraq , Aug. 21 -- American soldiers accidentally killed a 10-year-old boy on Sunday in Kirkuk after firing at a driver who ignored warnings to stop , the military said Monday .",Boy,U.S.,Killed
746,Russian President Favors Asia as an Oil Market President Vladimir V. Putin said Russia should direct oil and natural gas exports to Asia because '' unprincipled competition '' blocked its energy companies from expanding elsewhere .,V. Putin,Russia,said
747,"Raised in both Corning and Manhattan , Mrs. Hallenbeck married William Hallenbeck in September of 1960 and settled in Sarasota , raising three children , Wilson R. Page , Peter T. Page and William W. Hallenbeck , Jr. between homes in Florida and Massachusetts .",Mrs. Hallenbeck,William,married
748,"Almost 100 years ago in Vienna , Theodor Reik asked Sigmund Freud for advice about choosing a career .",Theodor Reik,Sigmund,asked
749,"There is , of course , a certain poetic justice in having President George W. Bush help Israel restore the deterrent power President George H. W. Bush undermined in 1991 .",W. Bush,Israel,help
750,IT SHOULD BE NONSECTARIAN -- Saddam Hussein ran Iraq for the benefit of his own Sunni Arab minority .,Saddam Hussein,Iraq,ran
751,"The answer : The British controlled Long Island Sound , held New York and Philadelphia and had raided the Connecticut shore , burning Danbury .",British,Long,controlled
752,"The Interior Ministry said Mr. Gotovina was arrested Wednesday night at a restaurant in a luxury hotel on Tenerife , the largest of the Canary Islands , which are part of Spain .",Interior Ministry,Mr.,said
753,Ms. Rice visited Blackburn and Liverpool on a visit to England in April ; she did not visit Blackpool .,Ms. Rice,Blackburn,visited
754,"For instance , after the Rome meeting in July , Ms. Rice gave Mr. McKay a ride aboard her plane to Kuala Lumpur , Malaysia , for a conference with Southeast Asian countries .",Ms. Rice,Mr.,gave
755,"An article on Thursday comparing Detroit with San Jose , which displaced it as the nation 's 10th most populous city , referred incorrectly to the San Jose Sharks hockey team .",Thursday,Detroit,comparing
756,"Saudi Arabia said Tuesday that it hoped to build a Middle East financial district in the capital city , Riyadh , and to sell a majority stake in its stock exchange , the Tadawul , to investors .",Saudi Arabia,Tuesday,said
757,"And -- this is the key -- even if the Security Council censures Iran , and Europe miraculously joins the U.S. in imposing sanctions , the Iranians assume that China , Russia and India -LRB- that 's half the world -RRB- will never follow .",Security Council,Iran,censures
758,"The first lady , Barbara Bush , campaigned over the summer for Mr. McGavick , as have Republicans including Senators Bill Frist of Tennessee and John McCain of Arizona .",Republicans,Senators,including
759,RUSSIA MUST PAY FOR CHECHEN DEATHS : The European Court of Human Rights on Thursday found Russia guilty in the shooting deaths of 5 members of the Estamirov family in Grozny in February 2000 .,Thursday,Russia,found
760,"According to an article in the August issue of Muscle & Fitness , Mr. Schwarzenegger joined David Pecker , the chief executive of American Media , at a meeting in Columbus , Ohio , in March to organize a new lobbying group to preserve access to supplements .",Mr. Schwarzenegger,David,joined
761,"I feel it is my destiny to come back , '' Takako Takeuchi , a Tokyo artist , said as the ship crossed the international strait separating Japan and Russia . ''",strait,Japan,separating
762,"HIDDEN VALUE Country and Midwestern THE Quad City International Airport serves Davenport , Iowa , with flights by American Eagle , AirTran , Delta Connection , Northwest Airlink and United Express .",International Airport,Davenport,serves
763,"In New York , Citibabes joins Kidville , a 20,000-square-foot space on the Upper East Side that opened in January .",Citibabes,Kidville,joins
764,"Berlin Film Festival Begins Tomorrow The 56th Berlin International Film Festival , ranking with Cannes and Venice among the foremost film festivals in Europe , opens tomorrow with '' Snow Cake , '' a romance starring Sigourney Weaver , left , as an autistic woman and Alan Rickman as a man haunted by a fatal accident , Agence France-Presse reported .",Film Festival,Tomorrow,Begins
765,"AUDIO SLIDE SHOW -- The photographer Chang W. Lee discusses a traditional teahouse , above , in Hangzhou , China .",AUDIO,SHOW,SLIDE
766,"They experienced the largest spikes in housing prices and pull up the national averages , while inland cities lag -- the tourist coast of Spain outpaces Madrid , San Francisco outdoes Milwaukee .",San Francisco,Milwaukee,outdoes
767,"Less than 24 hours before Saddam Hussein 's scheduled return to court on charges of crimes against humanity , the police in northern Iraq said Sunday that they had arrested 10 Sunni Arab men carrying orders from a fugitive associate of Mr. Hussein 's to assassinate the court 's best-known judge .",Iraq,Sunday,said
768,"Oakland trailed by 23-0 heading to the fourth quarter Sunday , made a mild comeback , then watched Denver cornerback Darrent Williams return an interception 80 yards for a touchdown .",Denver,Darrent,cornerback
769,"Several hours before Puerto Rico clobbered Cuba , 12-2 , Friday night , some San Juan police officers , Major League Baseball security officials and the game 's promoters filed past two glass doors into the staff office of the World Baseball Classic here .",Puerto Rico,Cuba,clobbered
770,"INSIDE PITCH Shairon Martis pitched a seven-inning no-hitter as the Netherlands blasted Panama , 10-0 .",Netherlands,Panama,blasted
771,"King Tut Plays Philadelphia Rejected by the Metropolitan Museum of Art , Egypt 's cash-craving new King Tut exhibition has chosen the Franklin Institute in Philadelphia as the fourth and final stop on its coming 27-month tour of the United States , the organizers announced yesterday .",King Tut,Philadelphia,Plays
772,"After the United States lost to Germany , 4-1 , in an exhibition in March in Dortmund , Arena blistered Convey 's effort on defense .",Arena,Convey,blistered
773,"SEPT. 11 , 2001-2006 : RELIGION Correction : September 13 , 2006 , Wednesday An article on Monday about sermons in the New York region addressing the fifth anniversary of the Sept. 11 attacks misstated the name of the Roman Catholic church on Staten Island led by Msgr .",Staten Island,Msgr,led
774,"President Chen Shui-bian of Taiwan said Sunday morning that he had called another prominent Taiwanese politician , James Soong , on Saturday night and asked him to carry a message to China 's leaders during Mr. Soong 's visit to China beginning later this week .",Taiwan,Sunday,said
775,"China and the United States both want to prevent Iran from acquiring nuclear weapons , but their '' approach may differ '' on the best tactics to achieve that result , Deputy Secretary of State Robert B. Zoellick said Wednesday after a round of meetings on the subject in Beijing .",B. Zoellick,Wednesday,said
776,"-LRB- Gates -RRB- KUROSAWA -LRB- Through Sept. 18 -RRB- The IFC Center 's series honoring Akira Kurosawa continues Sunday and Tuesday with '' The Bad Sleep Well '' (1960) , which places the '' Hamlet '' story in postwar corporate Japan .",Akira Kurosawa,Sunday,continues
777,"-LRB- Sisario -RRB- HOLD STEADY -LRB- Thursday -RRB- Like the E Street Band fronted by Shane MacGowan of the Pogues , the Hold Steady -- from Brooklyn , though with Minneapolis origins -- plays bare-knuckled guitar-rock while its singer , Craig Finn , free-associates about religion and sex in a boozy snarl . ''",Street Band,Shane,fronted
778,"The president of Peru , Alejandro Toledo , swore in a new cabinet on Tuesday led by Pedro Pablo Kuczynski , a Wall Street favorite and former money manager whose appointment as prime minister is intended to end Mr. Toledo 's latest political crisis .",Tuesday,Pedro,led
779,"A6 Sudan Criticizes Peace Plan Sudan has withdrawn its support for a United Nations peacekeeping force to replace African Union troops now in the conflict-ridden Darfur region and is lobbying other countries to help discourage the substitution , the United Nations envoy for Sudan said .",A6 Sudan,Peace,Criticizes
780,"Cliff Floyd will play for Class A Brooklyn on Thursday night , and Manager Willie Randolph indicated Floyd could be activated from the disabled list if things go well .",Willie Randolph,Floyd,indicated
781,"Other Social Democrats say Russia should not be boxed into a corner over human rights , and that the country needs time and patience from Europe because it has scarcely had a democratic tradition .",Social Democrats,Russia,say
782,"Mr. Suzuki said Toyota is also spending 250 billion yen -LRB- $ 2.2 billion -RRB- in North America , to complete a factory in Texas that will build Tundra pickup trucks and a plant in Canada to make RAV4 sport utility vehicles .",Mr. Suzuki,Toyota,said
783,"While serving as the European Union 's antitrust enforcer in 2001 , Mr. Monti torpedoed General Electric 's takeover of Honeywell -- a brash move that made Brussels a new force in the global markets .",Mr. Monti,General,torpedoed
784,Prime Minister Ehud Olmert said Israel would yield its '' control positions over Lebanon 's seaports and airports '' at 6 p.m. Thursday to international supervision .,Ehud Olmert,Israel,said
785,"Five years later , when he was the head of the Greek Senate 's foreign affairs committee , Mr. Papoulias visited Serbia at the invitation of the Belgrade government to observe elections that led to Mr. Milosevic 's precipitous fall .",Mr. Papoulias,Serbia,visited
786,"The Merrimack River in Massachusetts crested Monday afternoon at six feet above flood level and is expected to stay that high until Wednesday , the National Weather Service said .",Massachusetts,Monday,crested
787,"Indonesia announced Monday the creation of a new agency to oversee the reconstruction of Aceh , weeks after it spurned the efforts of a United Nations agency that had planned to spend $ 60 million on more than 35,000 houses .",Indonesia,Monday,announced
788,"The action was taken by health regulators in Britain , who early last October suspended Chiron 's manufacturing license because of bacterial contamination and quality-control problems at its plant in Liverpool , England , where nearly half the United States ' supply of the vaccine was to have been made .",October,Chiron,suspended
789,"I did learn a few new things from Forbes 's book : Mayor Lionel Wilson spared Forbes -- when Wilson was a judge -- on an early charge after Elaine Brown promised him full Panther support for his first mayoral run ; and , far more surprising , Forbes writes that he considered the Oakland '' pigs '' -LRB- cops -RRB- to be downright decent compared to the police in Los Angeles .",Lionel Wilson,Forbes,spared
790,"A1 Sharon Shows Improvement Prime Minister Ariel Sharon of Israel showed some improvement , breathing on his own and moving an arm a bit , as doctors began bringing him out of a coma .",A1 Sharon,Improvement,Shows
791,"In the working lunch with Mr. Blair , Mr. de Villepin repeated France 's longstanding demand for the extradition of Rachid Ramda , an Algerian suspected of involvement in the attacks in the commuter train and against other sites in Paris in 1995 , which were staged by Algeria 's militant Armed Islamic Group .",de Villepin,France,repeated
792,"Opens today in New York and Los Angeles Directed by Jamie Babbit 96 minutes Once upon a time , two beautiful teenagers meet cute and contrived when the good brunette , the newly orphaned Dot -LRB- Camilla Belle -RRB- , moves in with the family of the bad blonde , Nina Deer -LRB- Elisha Cuthbert -RRB- .",Los Angeles,Jamie,Directed
793,"That might explain why more than 16 copycat events are now held across the globe , from the itinerant European Gay Ski Week , in Pila , Italy , this March , to the newly reorganized GayWhistler Ski Week starting Sunday in Whistler , British Columbia .",Ski Week,Sunday,starting
794,President Bush and Prime Minister Tony Blair of Britain said Friday that they would present a plan to end hostilities between Israel and Hezbollah at the United Nations next week as Secretary of State Condoleezza Rice headed into an urgent round of weekend meetings in the Middle East to hash out the details .,Britain,Friday,said
795,"Winning three gold medals in the 1994 Winter Games in Lillehammer , Norway , Koss inspired Cheek , then a 14-year-old living in Greensboro , N.C. , to switch from inline skating to speedskating .",Koss,Cheek,inspired
796,"Of special concern at the bank , an organization within the United Nations system , is how Mr. Wolfowitz handled Iraq after the Saddam Hussein regime fell .",Mr. Wolfowitz,Iraq,handled
797,"The statement followed a dinner in Detroit attended by Carlos Ghosn , the chief executive of both Renault of France and Nissan of Japan , and Rick Wagoner , who runs General Motors .",Detroit,Carlos,attended
798,"Dick Cheney led Halliburton , which is based in Texas , before he became vice president . ''",Dick Cheney,Halliburton,led
799,"Ukraine conceded Tuesday that it had withdrawn natural gas from its pipeline system that Russia said was intended for export to Europe , but said it had a contractual right to the fuel under an agreement with the Central Asian nation of Turkmenistan .",Ukraine,Tuesday,conceded
