,Sentence,Entity1,Entity2,relation
686,"Comcast named Michael J. Angelakis , a managing director of Providence Equity Partners , as chief financial officer .",Comcast,Michael,named
687,"Mr. Gonzales attended Rice University and Harvard Law School before Mr. Bush , then governor of Texas , picked him in 1995 to serve as his general counsel in Austin and in 2001 brought him to Washington as his White House counsel .",Mr. Gonzales,Rice,attended
688,"Kodak Appoints Chief Executive Eastman Kodak named Antonio M. Perez , the president and chief operating officer , as its chief executive .",Eastman Kodak,Antonio,named
689,"-LRB- It did n't help that the two , seen cavorting on the Amalfi coast in Italy after Ms. Richards joined Mr. Sambora on tour with Bon Jovi in Europe , seemed to be flaunting their newfound happiness . -RRB-",Ms. Richards,Mr.,joined
690,"France administered Lebanon as a protectorate from 1920 to 1943 , and the former Lebanese prime minister , Rafik Hariri , who was killed in a car bombing last year that many believe was linked to Syria , was a close friend of the French president , Jacques Chirac .",France,Lebanon,administered
691,"-LRB- Confirming the death of its United Nations observer , the Chinese Foreign Ministry said Israel 's ambassador to Beijing was summoned Wednesday and asked to convey China 's request that Israel fully investigate the incident and issue an apology to the victim 's relatives , The Associated Press reported . ''",Foreign Ministry,Israel,said
692,"Correction : July 6 , 2005 , Wednesday An article on Thursday comparing Detroit with San Jose , which displaced it as the nation 's 10th most populous city , referred incorrectly to the San Jose Sharks hockey team .",Thursday,Detroit,comparing
693,"The agreement was announced after a meeting between Sergei V. Kiriyenko , the Russian nuclear chief , and Gholamreza Aghazadeh , the head of Iran 's Atomic Energy Organization in Bushehr , where the Russians built Iran 's first nuclear power plant . ''",Russians,Iran,built
694,"Ms. Healey said South Beach in Miami Beach , the pedestrian shopping area in Santa Monica , Calif. , and the Pearl District in Portland , Ore. , were inspirations .",Ms. Healey,South,said
695,"In addition , the British police are focusing on a 25-year-old Briton named Zeeshan Siddique , who was arrested in Peshawar , Pakistan , in May on suspicion of links to terrorism .",Briton,Zeeshan,named
696,"And just as he did in reviving Boston University , Providence , the Knicks and probation-riddled Kentucky , Pitino has taken a Louisville program that Athletic Director Tom Jurich said barely qualified as a Division I program and in four years has brought the team to the Final Four for the first time since 1986 , when Louisville defeated Duke for the national title .",Louisville,Duke,defeated
697,"Russia Gives Life Sentence to Man Convicted in Beslan School Siege Reactions were strong after a court decreed a life sentence for Nurpashi Kulayev , right , a Chechen carpenter who took part in the 2004 siege of a public school in Beslan , in which 331 people , including 186 children , died .",Russia,Life,Gives
698,"The Bush administration and many private economists have urged that the authorities in Beijing allow China 's currency , the yuan , to rise in value against the dollar .",Beijing,China,allow
699,The Peccadillo Theater Company revives Dorothy Parker and Arnaud d'Usseau 's play about the eccentric residents of a New York City hotel (2:00) .,Theater Company,Dorothy,revives
700,"This month , for example , Martin J. Sullivan succeeded Maurice R. Greenberg at the American International Group , and Disney 's board chose Robert A. Iger to succeed Michael D. Eisner .",J. Sullivan,Maurice,succeeded
701,"Mr. Posada left Panama City and flew to San Pedro Sula , Honduras , bearing a false American passport , according to President Ricardo Maduro , who publicly denounced him .",Mr. Posada,Panama,left
702,"Stuart remained unheralded , and the neighborhood where the arch sits , now an unincorporated patch of Martin County called Rio , became a landscape of mobile homes and snowbirds , with a smattering of peacocks from the nearby estate of Frances Langford , an actress known for singing '' I 'm in the Mood for Love . ''",Martin County,Rio,called
703,Russian President Favors Asia as an Oil Market President Vladimir V. Putin said Russia should direct oil and natural gas exports to Asia because '' unprincipled competition '' blocked its energy companies from expanding elsewhere .,V. Putin,Russia,said
704,"Raised in both Corning and Manhattan , Mrs. Hallenbeck married William Hallenbeck in September of 1960 and settled in Sarasota , raising three children , Wilson R. Page , Peter T. Page and William W. Hallenbeck , Jr. between homes in Florida and Massachusetts .",Mrs. Hallenbeck,William,married
705,"Almost 100 years ago in Vienna , Theodor Reik asked Sigmund Freud for advice about choosing a career .",Theodor Reik,Sigmund,asked
706,"There is , of course , a certain poetic justice in having President George W. Bush help Israel restore the deterrent power President George H. W. Bush undermined in 1991 .",W. Bush,Israel,help
707,A2 McCain Supports Compromise Senator John McCain of Arizona signaled his support for a compromise in which the White House might allow Senate leaders access to highly classified documents in return for a final vote on Mr. Bolton 's nomination .,A2 McCain,Compromise,Supports
708,IT SHOULD BE NONSECTARIAN -- Saddam Hussein ran Iraq for the benefit of his own Sunni Arab minority .,Saddam Hussein,Iraq,ran
709,"The answer : The British controlled Long Island Sound , held New York and Philadelphia and had raided the Connecticut shore , burning Danbury .",British,Long,controlled
710,"The Interior Ministry said Mr. Gotovina was arrested Wednesday night at a restaurant in a luxury hotel on Tenerife , the largest of the Canary Islands , which are part of Spain .",Interior Ministry,Mr.,said
711,Ms. Rice visited Blackburn and Liverpool on a visit to England in April ; she did not visit Blackpool .,Ms. Rice,Blackburn,visited
712,"For instance , after the Rome meeting in July , Ms. Rice gave Mr. McKay a ride aboard her plane to Kuala Lumpur , Malaysia , for a conference with Southeast Asian countries .",Ms. Rice,Mr.,gave
713,"An article on Thursday comparing Detroit with San Jose , which displaced it as the nation 's 10th most populous city , referred incorrectly to the San Jose Sharks hockey team .",Thursday,Detroit,comparing
714,"Saudi Arabia said Tuesday that it hoped to build a Middle East financial district in the capital city , Riyadh , and to sell a majority stake in its stock exchange , the Tadawul , to investors .",Saudi Arabia,Tuesday,said
715,"And -- this is the key -- even if the Security Council censures Iran , and Europe miraculously joins the U.S. in imposing sanctions , the Iranians assume that China , Russia and India -LRB- that 's half the world -RRB- will never follow .",Security Council,Iran,censures
716,"The first lady , Barbara Bush , campaigned over the summer for Mr. McGavick , as have Republicans including Senators Bill Frist of Tennessee and John McCain of Arizona .",Republicans,Senators,including
717,RUSSIA MUST PAY FOR CHECHEN DEATHS : The European Court of Human Rights on Thursday found Russia guilty in the shooting deaths of 5 members of the Estamirov family in Grozny in February 2000 .,Thursday,Russia,found
718,"According to an article in the August issue of Muscle & Fitness , Mr. Schwarzenegger joined David Pecker , the chief executive of American Media , at a meeting in Columbus , Ohio , in March to organize a new lobbying group to preserve access to supplements .",Mr. Schwarzenegger,David,joined
719,"HIDDEN VALUE Country and Midwestern THE Quad City International Airport serves Davenport , Iowa , with flights by American Eagle , AirTran , Delta Connection , Northwest Airlink and United Express .",International Airport,Davenport,serves
720,"In New York , Citibabes joins Kidville , a 20,000-square-foot space on the Upper East Side that opened in January .",Citibabes,Kidville,joins
721,"They experienced the largest spikes in housing prices and pull up the national averages , while inland cities lag -- the tourist coast of Spain outpaces Madrid , San Francisco outdoes Milwaukee .",San Francisco,Milwaukee,outdoes
722,"Less than 24 hours before Saddam Hussein 's scheduled return to court on charges of crimes against humanity , the police in northern Iraq said Sunday that they had arrested 10 Sunni Arab men carrying orders from a fugitive associate of Mr. Hussein 's to assassinate the court 's best-known judge .",Iraq,Sunday,said
723,"Several hours before Puerto Rico clobbered Cuba , 12-2 , Friday night , some San Juan police officers , Major League Baseball security officials and the game 's promoters filed past two glass doors into the staff office of the World Baseball Classic here .",Puerto Rico,Cuba,clobbered
724,"INSIDE PITCH Shairon Martis pitched a seven-inning no-hitter as the Netherlands blasted Panama , 10-0 .",Netherlands,Panama,blasted
725,"King Tut Plays Philadelphia Rejected by the Metropolitan Museum of Art , Egypt 's cash-craving new King Tut exhibition has chosen the Franklin Institute in Philadelphia as the fourth and final stop on its coming 27-month tour of the United States , the organizers announced yesterday .",King Tut,Philadelphia,Plays
726,"After the United States lost to Germany , 4-1 , in an exhibition in March in Dortmund , Arena blistered Convey 's effort on defense .",Arena,Convey,blistered
727,"SEPT. 11 , 2001-2006 : RELIGION Correction : September 13 , 2006 , Wednesday An article on Monday about sermons in the New York region addressing the fifth anniversary of the Sept. 11 attacks misstated the name of the Roman Catholic church on Staten Island led by Msgr .",Staten Island,Msgr,led
728,"President Chen Shui-bian of Taiwan said Sunday morning that he had called another prominent Taiwanese politician , James Soong , on Saturday night and asked him to carry a message to China 's leaders during Mr. Soong 's visit to China beginning later this week .",Taiwan,Sunday,said
729,"China and the United States both want to prevent Iran from acquiring nuclear weapons , but their '' approach may differ '' on the best tactics to achieve that result , Deputy Secretary of State Robert B. Zoellick said Wednesday after a round of meetings on the subject in Beijing .",B. Zoellick,Wednesday,said
730,"-LRB- Gates -RRB- KUROSAWA -LRB- Through Sept. 18 -RRB- The IFC Center 's series honoring Akira Kurosawa continues Sunday and Tuesday with '' The Bad Sleep Well '' (1960) , which places the '' Hamlet '' story in postwar corporate Japan .",Akira Kurosawa,Sunday,continues
731,"-LRB- Sisario -RRB- HOLD STEADY -LRB- Thursday -RRB- Like the E Street Band fronted by Shane MacGowan of the Pogues , the Hold Steady -- from Brooklyn , though with Minneapolis origins -- plays bare-knuckled guitar-rock while its singer , Craig Finn , free-associates about religion and sex in a boozy snarl . ''",Street Band,Shane,fronted
732,"The president of Peru , Alejandro Toledo , swore in a new cabinet on Tuesday led by Pedro Pablo Kuczynski , a Wall Street favorite and former money manager whose appointment as prime minister is intended to end Mr. Toledo 's latest political crisis .",Tuesday,Pedro,led
733,"Cliff Floyd will play for Class A Brooklyn on Thursday night , and Manager Willie Randolph indicated Floyd could be activated from the disabled list if things go well .",Willie Randolph,Floyd,indicated
734,"Other Social Democrats say Russia should not be boxed into a corner over human rights , and that the country needs time and patience from Europe because it has scarcely had a democratic tradition .",Social Democrats,Russia,say
735,"Mr. Suzuki said Toyota is also spending 250 billion yen -LRB- $ 2.2 billion -RRB- in North America , to complete a factory in Texas that will build Tundra pickup trucks and a plant in Canada to make RAV4 sport utility vehicles .",Mr. Suzuki,Toyota,said
736,"While serving as the European Union 's antitrust enforcer in 2001 , Mr. Monti torpedoed General Electric 's takeover of Honeywell -- a brash move that made Brussels a new force in the global markets .",Mr. Monti,General,torpedoed
737,Prime Minister Ehud Olmert said Israel would yield its '' control positions over Lebanon 's seaports and airports '' at 6 p.m. Thursday to international supervision .,Ehud Olmert,Israel,said
738,"Five years later , when he was the head of the Greek Senate 's foreign affairs committee , Mr. Papoulias visited Serbia at the invitation of the Belgrade government to observe elections that led to Mr. Milosevic 's precipitous fall .",Mr. Papoulias,Serbia,visited
739,"The Merrimack River in Massachusetts crested Monday afternoon at six feet above flood level and is expected to stay that high until Wednesday , the National Weather Service said .",Massachusetts,Monday,crested
740,"Indonesia announced Monday the creation of a new agency to oversee the reconstruction of Aceh , weeks after it spurned the efforts of a United Nations agency that had planned to spend $ 60 million on more than 35,000 houses .",Indonesia,Monday,announced
741,"The action was taken by health regulators in Britain , who early last October suspended Chiron 's manufacturing license because of bacterial contamination and quality-control problems at its plant in Liverpool , England , where nearly half the United States ' supply of the vaccine was to have been made .",October,Chiron,suspended
742,"I did learn a few new things from Forbes 's book : Mayor Lionel Wilson spared Forbes -- when Wilson was a judge -- on an early charge after Elaine Brown promised him full Panther support for his first mayoral run ; and , far more surprising , Forbes writes that he considered the Oakland '' pigs '' -LRB- cops -RRB- to be downright decent compared to the police in Los Angeles .",Lionel Wilson,Forbes,spared
743,"A1 Sharon Shows Improvement Prime Minister Ariel Sharon of Israel showed some improvement , breathing on his own and moving an arm a bit , as doctors began bringing him out of a coma .",Sharon,Improvement,Shows
744,"In the working lunch with Mr. Blair , Mr. de Villepin repeated France 's longstanding demand for the extradition of Rachid Ramda , an Algerian suspected of involvement in the attacks in the commuter train and against other sites in Paris in 1995 , which were staged by Algeria 's militant Armed Islamic Group .",Villepin,France,repeated
745,"Opens today in New York and Los Angeles Directed by Jamie Babbit 96 minutes Once upon a time , two beautiful teenagers meet cute and contrived when the good brunette , the newly orphaned Dot -LRB- Camilla Belle -RRB- , moves in with the family of the bad blonde , Nina Deer -LRB- Elisha Cuthbert -RRB- .",Los Angeles,Jamie,Directed
746,"That might explain why more than 16 copycat events are now held across the globe , from the itinerant European Gay Ski Week , in Pila , Italy , this March , to the newly reorganized GayWhistler Ski Week starting Sunday in Whistler , British Columbia .",Ski Week,Sunday,starting
747,President Bush and Prime Minister Tony Blair of Britain said Friday that they would present a plan to end hostilities between Israel and Hezbollah at the United Nations next week as Secretary of State Condoleezza Rice headed into an urgent round of weekend meetings in the Middle East to hash out the details .,Britain,Friday,said
748,"A20 Beirut Mourns Slain Minister With an anti-Syria fury that recalled the aftermath of the assassination of former Prime Minister Rafik Hariri , hundreds of thousands of people poured into Beirut for the funeral of a government minister slain Tuesday , Pierre Gemayel , above .",Beirut Mourns,Minister,Slain
749,"Of special concern at the bank , an organization within the United Nations system , is how Mr. Wolfowitz handled Iraq after the Saddam Hussein regime fell .",Mr. Wolfowitz,Iraq,handled
750,"The statement followed a dinner in Detroit attended by Carlos Ghosn , the chief executive of both Renault of France and Nissan of Japan , and Rick Wagoner , who runs General Motors .",Detroit,Carlos,attended
751,"Dick Cheney led Halliburton , which is based in Texas , before he became vice president . ''",Dick Cheney,Halliburton,led
752,"Ukraine conceded Tuesday that it had withdrawn natural gas from its pipeline system that Russia said was intended for export to Europe , but said it had a contractual right to the fuel under an agreement with the Central Asian nation of Turkmenistan .",Ukraine,Tuesday,conceded
753,Carmona is the 22-year-old rookie relief pitcher who was put in the closer 's role after the Indians traded Bob Wickman to Atlanta .,Indians,Bob,traded
754,"As the war intensified , however , Philipp began to distance himself from Hitler , and after Italy dropped out of the war in the summer of 1943 , Hitler imprisoned Philipp and sent Mafalda to the Buchenwald camp , where she died .",Hitler,Philipp,imprisoned
755,"PAGE A16 Bringing Dorm Life Home for the Holidays Jake Goss , 19 , a freshman at the University of South Carolina in Columbia , is back at home on Long Island .",PAGE,Dorm,Bringing
756,"An average of more than 100 civilians per day were killed in Iraq last month , the United Nations reported Tuesday , registering what appears to be the highest official monthly tally of violent deaths since the fall of Baghdad .",United Nations,Tuesday,reported
757,But it was not until John Philip Coghlan became Visa USA 's new leader last summer that she got permission .,Philip Coghlan,Visa,became
758,"Stille follows Berlusconi from his middle-class origins in Milan , where he was born in 1936 and made a killing in real estate in the 1960 's and 70 's , to his first television acquisitions in the 70 's and 80 's , when he broke the state monopoly and filled his commercial channels with '' Dallas , '' '' Baywatch '' and Italy 's first nude game show .",Stille,Berlusconi,follows
759,"Opens today in New York and San Francisco Directed by Joseph Lovett Not rated , 72 minutes Joseph Lovett 's nostalgic paean to the erotic utopia of his youth might be more accurately titled '' Anonymous Gay Male Sex in the 70 's in Manhattan . ''",San Francisco,Joseph,Directed
760,The Supreme Council entered Iraq after the fall of Saddam Hussein and is trying to live down its history of fighting against Iraqis .,Supreme Council,Iraq,entered
761,Ms. Rice visited Blackburn and Liverpool on a visit to England in April ; she did not visit Blackpool .,Ms. Rice,Blackburn,visited
762,"A Pentagon assessment of security conditions in Iraq concluded Monday that attacks against American and Iraqi targets had surged this summer and autumn to their highest level , and called violence by Shiite militants the most significant threat in Baghdad .",Iraq,Monday,concluded
763,"In a speech Thursday in eastern Afghanistan , President Hamid Karzai blamed Pakistan for supporting the insurgents in an effort to destabilize the Afghan government . ''",Hamid Karzai,Pakistan,blamed
764,"The chaos in Gaza continued Wednesday , as some gunmen blocked access to the border crossing with Egypt , others used stolen bulldozers to smash through the border wall between Egypt and Gaza and still others fired a barrage of Qassam rockets toward the Israeli towns of Sederot and Ashkelon , and toward the Erez crossing between Gaza and Israel .",Gaza,Wednesday,continued
765,"In an effort to jump-start formal negotiations between six world powers and Iran over its nuclear program , President Jacques Chirac of France suggested Monday that Iran would not have to freeze major nuclear activities until the talks began .",France,Monday,suggested
766,Secretary General Kofi Annan said Monday that the United Nations would mediate talks on the release of Israeli and Hezbollah prisoners .,Kofi Annan,Monday,said
767,"Mr. Annan arrived Monday in Saudi Arabia , his eighth stop on a Middle East trip intended to shore up support for the resolution , which ended the 34-day war and plotted a path to a longer-term peace .",Mr. Annan,Monday,arrived
768,"When armed insurgents moved into her southern Baghdad neighborhood last spring and started threatening Shiite families like hers , Umm Hussein called Iraq 's widely publicized 24-hour terrorism hot line .",Umm Hussein,Iraq,called
769,"Having embraced the pervasive utopian dreams of those thrilling , wrenching days , Medved explains that the most devastating moment of his young life came when , as a supervisor of volunteers in Robert Kennedy 's California campaign , he was at the victory celebration when Sirhan Sirhan shot Kennedy down .",Sirhan Sirhan,Kennedy,shot
770,"After long resisting entreaties from the Bush administration , Prime Minister John Howard of Australia announced Tuesday that he would dispatch more combat troops to Iraq .",Australia,Tuesday,announced
771,"To the Editor : In '' Summer Fading , Hollywood Sees Fizzle '' -LRB- Arts pages , Aug. 24 -RRB- , Robert Shaye , the chairman of New Line Cinema , is right to suggest that Hollywood can no longer count on audiences showing up for bad movies out of habit , boredom or a desire to get out of the house .",Hollywood,Fizzle,Sees
772,"As a junior player , Basu beat Kim Clijsters of Belgium -- now the WTA 's second-ranked player -- and later played nearly 100 tournaments professionally in Europe .",Basu,Kim,beat
773,"Among them were Qiao Shi and Hu Qili , who were both members of the Politburo Standing Committee at the time Mr. Zhao held China 's top political posts .",Mr. Zhao,China,held
774,"Secretary General Kofi Annan appointed Kai Eide , Norway 's ambassador to NATO and a former special United Nations envoy to Bosnia , to assess whether Kosovo , the 90 percent Albanian province of Serbia run by the United Nations since 1999 , should gain its independence .",Kofi Annan,Kai,appointed
775,"The next game , however , Cheeks made a far stranger decision when he kept little-used Richie Frahm in the game and he inbounded the ball in the final 24.3 seconds of the fourth quarter , with Portland trailing Washington , 99-98 .",Portland,Washington,trailing
776,"Molly 's story began last summer when , apparently abandoned by her owners , she was found wandering in a pasture in St. Charles Parish after Hurricane Katrina hit Louisiana .",Hurricane Katrina,Louisiana,hit
777,"Washington wants Beijing to put pressure on North Korea in coming nuclear disarmament talks ; the United States is pressing China to restrain its digital pirates , who illegally copy movies , software and other goods ; and there are the continuing tensions over China 's huge trade surplus with the United States , manufacturing jobs lost to China and Washington 's call for China to loosen its fixed-rate currency policy . ''",Washington,Beijing,wants
778,"The turning point on the field came last January , when West Virginia upset Georgia in the Sugar Bowl in Atlanta .",West Virginia,Georgia,upset
779,"Bolivia Elects Leftist Leader Evo Morales , an Aymara Indian who has vowed to end a campaign financed by the United States to eradicate coca farming , won a resounding victory in Bolivia 's presidential election .",Bolivia,Leftist,Elects
780,"Thursday through Saturday at 8 p.m. -LRB- dance -RRB- ; a gala package on Thursday includes Romano Drom 's performance at 9:30 p.m. ; Romano Drom also performs on Saturday at 8:30 p.m. , Bard College , Annandale-on-Hudson , N.Y. ; (845) 758-7900 ; $ 25 to $ 55 -LRB- dance -RRB- ; $ 150 gala package on Thursday , including dinner ; $ 25 -LRB- Romano Drom on Saturday -RRB- .",Thursday,Romano,includes
781,"A6 Afghan Bus Bomb Kills Eight A bomb exploded on a bus taking workers to the United States military air base at Kandahar in Afghanistan , killing 8 people and wounding at least 16 others , officials said .",Bus Bomb,Eight,Kills
782,"To meet his online challenges , Mr. Wright named Beth Comstock last year to head all of NBC Universal 's digital efforts .",Mr. Wright,Beth,named
783,"Branch Rickey brought Jackie Robinson to the Brooklyn Dodgers in April 1947 , breaking the major league color barrier , and three months later , Veeck broke the color barrier in the American League by acquiring a 23-year-old outfielder named Larry Doby for Cleveland .",Branch Rickey,Jackie,brought
784,"C2 Aon Reaches Settlement Aon , the world 's second-largest insurance broker , reached settlements with New York , Connecticut and Illinois , agreeing to pay restitution of $ 190 million for directing transactions that helped mislead customers and and possibly increased costs , the New York attorney general Eliot Spitzer said .",C2 Aon,Settlement,Reaches
785,Also deferred are the issues of Israel 's presence in the West Bank and actions that the Americans wanted Mr. Abbas to undertake to disarm militant groups .,Americans,Mr.,wanted
786,"It will be a reprise of the 1986 final , when Argentina and Diego Maradona defeated Germany , 3-2 , and the 1990 final when West Germany defeated Argentina , 1-0 , on a penalty kick .",Diego Maradona,Germany,defeated
787,"Mr. Annan told Mr. Olmert in a breakfast meeting at the prime minister 's residence in Jerusalem that while he would prefer that Israel completely lift its blockade of air , sea and land traffic into Lebanon , he wanted Mr. Olmert at least to allow Beirut 's airport to resume normal operations .",Mr. Annan,Mr.,told
788,"President Bush telephoned Bolivia 's newly inaugurated president , Evo Morales , to congratulate him and express the need for constructive dialogue between the countries .",President Bush,Bolivia,telephoned
789,"Most are pro players like the Giants receiver Plaxico Burress , the Buffalo running back Willis McGahee and the Green Bay receiver Javon Walker , but Miami players go , too .",Giants,Plaxico,receiver
790,"Mr. Elers is also a managing director of a Dublin subsidiary of Hannover Re called E & S -LRB- Ireland -RRB- , which carried out some of the questionable transactions that led to the HIH collapse , according to the Australian government report .",Hannover Re,E,called
791,"Mr. Berkemer eventually hired five musicians from Armenia , ten from Georgia and one from Dagestan , a Muslim-populated region of Russia bordering Chechnya .",Russia,Chechnya,bordering
792,"Magda was the Guest Curator of a show titled , Photographs Collected by Charles Darwin for His Study of the Expression of the Emotions , at Cambridge University Library , England , 1985 .",Photographs,Charles,Collected
793,"Spain said Wednesday that it arrested more than 130 people last year suspected of involvement with Islamic terrorism , nearly half of them in connection with the March 11 train attacks in Madrid .",Spain,Wednesday,said
794,"The Chinese appeared to have quickly filled the economic breach for the Philippines and , according to a memorandum from Mr. Neri 's office , a number of projects are expected to be completed when Mr. Wen visits Manila in December .",Mr. Wen,Manila,visits
795,"In the 1960 's and 70 's , for example , China aided Angola while Taiwan helped neighboring South Africa .",China,Angola,aided
796,"Acting as a consultant for the Pixar team -- Mr. Ranft ; John Lasseter , the director ; and other top animators -- Mr. Wallis played Beatrice to their Dante .",Mr. Wallis,Beatrice,played
797,"Israel gave Mr. Putin a red-carpet welcome , including separate meetings with President Moshe Katsav and Prime Minister Ariel Sharon and a somber visit to Israel 's Holocaust memorial , Yad Vashem .",Israel,Mr.,gave
798,"Ms. Nguyen , who was 18 and still in Vietnam when John Paul became pope , said he '' really touched me emotionally '' by fighting communism and traveling to Asia and many other countries to bring his leadership directly to Catholics everywhere . ''",John Paul,pope,became
799,"Mr. Klein visited Public School 65 in Cypress Hills , Brooklyn before noon yesterday , and was caught up in a swirl of smiling students clutching their report cards , hugging their teachers and clapping each other on the back as they bounded out of school for the summer break . ''",Mr. Klein,Public,visited
800,"From 1998 to 2002 , for example , Dell let Michael S. Dell and several of his top lieutenants choose to receive their pretax cash bonuses in the form of a large discounted option grant .",Dell,Michael,let
801,"B1 Clintons Visit Jordan Former President Bill Clinton , Senator Hillary Rodham Clinton and their daughter , Chelsea , paid an unannounced visit to Jordan on the second day of their tour of the Middle East to see the damage caused by last week 's suicide bombings .",B1 Clintons,Jordan,Visit
802,"Officials from the Agriculture Department said Saturday that a series of tests would be carried out on the cow 's brain tissue at a department laboratory in Ames , Iowa , and at an internationally known facility in Weybridge , Britain , to determine if the animal is infected with mad cow disease , clinically known as bovine spongiform encephalopathy .",Agriculture Department,Saturday,said
803,"Hewlett-Packard 's New Chief Says Strategy Is Unchanged In his first appearance before Wall Street analysts yesterday , Mark V. Hurd , who took over eight months ago as the chief executive of Hewlett-Packard , delivered a clear message : the company 's business strategy has not yet changed , but the management style and focus certainly have .",New Chief,Strategy,Says
804,"Born in Vienna in 1927 , Ms. Steiner moved with her family to Buenos Aires when Hitler annexed Austria in 1938 .",Hitler,Austria,annexed
805,"Mr. Ingram left Olympia in his car in September on his way to Alberta , Canada .",Mr. Ingram,Olympia,left
806,"Three decades after he started Microsoft with the dream of placing a personal computer in every home and business , Bill Gates said Thursday that he would leave his day-to-day role there in two years .",Bill Gates,Thursday,said
807,"Turner shaped Aikman into a Hall of Famer and introduced Aikman at his induction to the Hall in Canton , Ohio . ''",Turner,Aikman,shaped
808,"Israel annexed East Jerusalem after capturing it in 1967 , and considers all of the city its capital , a position that has not been recognized internationally .",Israel,East,annexed
809,"Ex-Chairman of Goldman Sachs Assails Spitzer In an op-ed article in The Wall Street Journal , John C. Whitehead , the former chairman of Goldman Sachs who now heads the corporation responsible for rebuilding Lower Manhattan , accused Eliot Spitzer , New York 's attorney general , of declaring '' war between us '' and warning that he would '' pay dearly for what you have done . ''",Goldman Sachs,Spitzer,Assails
810,"Bolivia Nationalizes Oil and Gas Fields President Evo Morales nationalized Bolivia 's plentiful oil and gas fields , further rattling foreign producers already troubled by growing intervention in Latin America 's resource-rich energy sector .",Evo Morales,Bolivia,nationalized
811,"That year , the Spurs drafted Luis Scola , Ginobili 's teammate on Argentina 's gold-medal-winning team at the Athens Olympics last summer .",Spurs,Luis,drafted
812,"In 1988 Popovich persuaded Brown and the Spurs ' general manager , Bob Bass , to send him to Cologne , Germany , to scout players at the Euroleague championships .",Popovich,Brown,persuaded
813,"In 1982 Professor Bass left Purdue , one of the worlds leading management schools , for the challenge in his beloved home state of Texas of helping to build the University of Texas at Dallas -LRB- UTD -RRB- School of Management into a world-class research institution .",Professor Bass,Purdue,left
814,Uganda became Africa 's leader in fighting AIDS by waging an all-fronts war .,Uganda,Africa,became
815,"Janeene Freeman Nora Chaves New York , Oct. 18 , 2005 The writer are , respectively , the coordinator of legislative affairs and the help line coordinator for the New York City Managed Care Consumer Assistance Program .",York City,Care,Managed
816,"Before this latest dispute with Belarus , Gazprom price increases had hit countries at odds with Moscow 's foreign policy goals , like Georgia , which is locked in a conflict with Russia over separatist enclaves , and Ukraine , where price increases in January undermined President Viktor A. Yushchenko 's pro-Western government .",January,President,undermined
817,White House Sounds a Cautious Tone The White House urged Cubans yesterday not to try a dangerous boat trip to Miami in the wake of Mr. Castro 's illness and also warned Cuban exiles in Florida not to return to Cuba illegally . '',White House,Cubans,urged
818,"3 Suspects in Resort Attacks Killed EL-ARISH , Egypt , April 30 -LRB- Reuters -RRB- -- Egyptian police officers on Sunday shot dead three men suspected of belonging to a group of Sinai Bedouins who killed at least 18 people in the Red Sea resort of Dahab last week , police officials said .",Resort,EL,Killed
819,"Kobe , Kobe , '' Larry Jones said Daniel chanted whenever Kobe Bryant of the Los Angeles Lakers appeared on television . ''",Larry Jones,Daniel,said
820,"Despite the optimistic report here , President Mahmoud Ahmadinejad of Iran said Thursday that his nation would not be deterred from its nuclear ambitions , though he said that Iran was ready for fair negotiations . ''",Iran,Thursday,said
821,"In a deal valued at about $ 160 million in 2004 , I.B.M. bought Daksh eServices of New Delhi , India 's third-largest back-office outsourcing firm with 6,000 workers .",I.B.M.,Daksh,bought
822,It was only in 1971 that the People 's Republic of China supplanted Taiwan as the representative of China in the United Nations .,China,Taiwan,supplanted
823,"At the London School of Economics , Wang met Cong Jun , a student from the Beijing foreign-language school and the daughter of Chen Yi , one of Mao 's great comrades .",Wang,Cong,met
824,"The women 's finish brought back memories of last November 's New York City Marathon , in which Paul Tergat of Kenya beat Hendrick Ramaala of South Africa by a stride .",Kenya,Hendrick,beat
825,Didier Drogba joined Chelsea in May 2004 from Olympique Marseille of France for almost $ 50 million .,Didier Drogba,Chelsea,joined
826,"Data on Iraq Was Distorted , Ex-C.I.A. Official Says Paul R. Pillar , a former C.I.A. official in charge of Middle East intelligence assessments , said the Bush administration had distorted prewar intelligence on Iraq to justify decisions officials had already made .",C.I.A. Official,Paul,Says
827,"In another development , Israel announced Thursday that it had arrested an Israeli Arab , Ashraf Kaisi , 26 , who is charged in the Feb. 25 suicide bombing that killed five Israelis at a Tel Aviv nightclub .",Israel,Thursday,announced
828,"In a letter to Mr. Volcker dated May 9 , Mr. Gonzalez said he had received a telephone call from Kofi Annan 's lawyer , Gregory Craig , and that his client , Mr. Mouselli , had been called by Kojo Annan 's lawyer , William Taylor , seeking clarification about what Mr. Mouselli had told the committee .",Mr. Volcker,May,dated
829,"Spreading photographs of Iranian nuclear sites over a lunch table at the Bush ranch in Texas on Monday , Prime Minister Ariel Sharon of Israel urged President Bush to step up pressure on Iran to give up all elements of its nuclear program , according to senior American and Israeli officials .",Israel,President,urged
830,Prince Turki said Saudi Arabia did not want Iraq to fracture along ethnic or religious lines .,Prince Turki,Saudi,said
831,President Bush said Friday that he would press Prime Minister Ariel Sharon of Israel at a meeting here on Monday to halt the expansion of an Israeli settlement on the West Bank .,President Bush,Friday,said
